Word,Bigram,Conc.M,Conc.SD,Unknown,Total,Percent_known,SUBTLEX
roadsweeper,0,4.85,0.37,1,27,0.96,0
traindriver,0,4.54,0.71,3,29,0.9,0
tush,0,4.45,1.01,3,25,0.88,66
hairdress,0,3.93,1.28,0,29,1,1
pharmaceutics,0,3.77,1.41,4,26,0.85,0
hoover,0,3.76,1.23,4,29,0.86,162
shopkeeping,0,3.18,1.19,1,29,0.97,0
pushiness,0,2.48,1.24,1,30,0.97,0
underdevelop,0,2.37,1.4,0,30,1,0
tirelessness,0,2.28,1.28,1,30,0.97,0
oldfashioned,0,2.26,1.02,0,27,1,0
wellmannered,0,2.25,1.14,2,30,0.93,0
dismissiveness,0,1.83,1,1,30,0.97,0
spitefulness,0,1.8,0.76,0,25,1,0
untruthfulness,0,1.73,0.92,4,30,0.87,0
dispiritedness,0,1.56,0.71,3,28,0.89,0
sled,0,5,0,0,28,1,149
plunger,0,4.96,0.2,0,26,1,48
human,0,4.93,0.26,0,28,1,6363
waterbed,0,4.93,0.27,0,27,1,27
cymbal,0,4.92,0.28,1,25,0.96,13
ginger,0,4.92,0.27,0,26,1,327
bobsled,0,4.9,0.41,0,29,1,48
cardboard,0,4.9,0.41,0,29,1,138
olive,0,4.9,0.31,0,30,1,375
dogsled,0,4.89,0.32,0,27,1,2
rubber,0,4.86,0.74,0,29,1,714
soybean,0,4.82,0.77,0,28,1,25
tangerine,0,4.81,0.62,0,27,1,38
headrest,0,4.8,0.76,0,30,1,6
eucalyptus,0,4.77,0.57,0,30,1,25
saltwater,0,4.77,0.82,0,30,1,31
armrest,0,4.76,0.83,0,29,1,8
paramedic,0,4.74,0.45,1,24,0.96,107
liquid,0,4.72,0.54,0,25,1,395
billfold,0,4.71,1,2,26,0.92,12
canine,0,4.71,0.6,0,28,1,86
flowerbed,0,4.71,0.6,0,28,1,6
soy,0,4.7,0.6,0,30,1,118
bald,0,4.69,0.47,0,26,1,496
lilac,0,4.69,0.97,0,29,1,39
hemorrhoid,0,4.68,0.72,1,29,0.97,18
orange,0,4.66,0.9,0,29,1,1138
arachnid,0,4.65,0.69,3,29,0.9,13
underarm,0,4.63,0.72,0,30,1,4
barefoot,0,4.62,0.68,0,29,1,121
bearded,0,4.62,0.7,1,27,0.96,65
thyroid,0,4.61,0.74,0,28,1,28
wooden,0,4.61,0.63,0,28,1,367
sleeveless,0,4.6,0.5,0,25,1,5
concrete,0,4.59,1.05,0,27,1,379
panty,0,4.59,0.91,0,29,1,53
pregnant,0,4.59,0.89,0,27,1,2653
helmeted,0,4.58,0.7,1,27,0.96,1
hula,0,4.58,0.64,3,29,0.9,100
female,0,4.57,0.88,0,28,1,1612
crematory,0,4.56,0.58,1,28,0.96,14
pigtailed,0,4.55,0.78,0,29,1,2
sphincter,0,4.54,0.99,1,27,0.96,57
backrest,0,4.52,0.92,1,26,0.96,1
blonde,0,4.52,1.09,0,29,1,710
farmhand,0,4.52,1.01,0,27,1,3
fat,0,4.52,0.85,0,27,1,4051
